,titles,offers,locations,titles_clean
21,Marketing menadžer (m/ž),"Mesečna primanja i preko 10.000,00 €!
Ukoliko i Vi želite da postanete deo ove fantastične priče, pogledajte sledeći oglas.
HARMONELO Global je češka kompanija, koja Vam pruža šansu da budete svoj gazda uz finansijsko blagostanje.
Kompanija postoji tek nešto više od 4 godine, tako da svi koji se priključe u fazi razvoja ove kompanije, mogu da očekuju uspešno poslovanje u veoma kratkom vremenskom periodu.
Šta možete da očekujete od nas?
Nudimo proizvode koji su jedinstvene na svetu
Mogućnost da promenite odnos prema svom zdravlju
Pokretanje sopstvenog biznisa sa minimalnim iznosom
Besplatna registracija bez obaveze kupovine
Besplatna registracija kao Certificirani Distributer
Besplatne edukacije kroz korišćenje HARMONELO akademije
Mi vršimo kompletanu administraciju Vaših aktivnosti
Svakodnevna marketing podrška od strane Vašeg mentora  
Ne postoji obaveza prodaje proizvoda, korisnici sami poručuju  proizvode putem interneta
HARMONELO poseduje sopstvenu laboratoriju kao i svoje stručne savetnike
Svi proizvodi su patentirani u Evropskoj Uniji
Samostalno planirate Vaše radno vreme
Šta mi očekujemo od Vas?
Angažovan rad u širenju ideje HARMONELO Global Pokreta
Brzo postizanje karijernog nivoa Bronze, Silver ili Gold Manager-a
Potrebna nam je komunikativna osoba koja želi da ostvari svoje snove
Naravno, Vi ćete uspeti brže, ukoliko imate veliki broj poznanika i prijatelja i na društvenim mrežama.
A bilo bi idealno da imate već iskustva u promovisanju zdravstvenih proizvoda, ali nije obavezno
Šta treba da učinite, kako bi postali deo ove fantastične priče?
Dostavite nam Vaš CV putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Više lokacija
Zaposlenje: Freelance
Broj izvršilaca: 50
Moguć rad od kuće (remote): Da
Oglas objavljen: 14.06.2024. u 14:35
Oglas ističe: 15.07.2024. u 14:35",Marketing menadžer
22,CNC operater (m/ž),,"Mjesto rada: Ilijaš
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 13:55
Oglas ističe: 15.07.2024. u 13:55",CNC operater
23,Monter namještaja (m/ž),,"Mjesto rada: Ilijaš
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 13:55
Oglas ističe: 15.07.2024. u 13:55",Monter namještaja
24,Tapetar (m/ž),,"Mjesto rada: Ilijaš
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 13:55
Oglas ističe: 15.07.2024. u 13:55",Tapetar
25,Pomoćni radnik (m/ž),,"Mjesto rada: Ilijaš
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 13:55
Oglas ističe: 15.07.2024. u 13:55",Pomoćni radnik
26,Serviser laboratorijske / analitičke opreme (m/ž),"Erkona d.o.o. Sarajavo raspisuje oglas za prijem radnika za sljedeće radno mjesto :
Serviser laboratorijske/analitičke opreme – 1 izvršilac
Erkona d.o.o. je osnovana 1992. godine, fokusirana je na prodaju, održavanje, validaciju i servisiranje širokog spektra visoko sofisticiranih laboratorijskih instrumenata i opreme kao što su: UPLC, HPLC, maseni spektrometri, UV i AA spektrofotometri.
Proizvode i rješenja iz naše ponude uspješno koriste brojne kompanije i instituti koji se bave ispitivanjima u oblastima životne sredine, prirodnih nauka, farmaceutike, hrane i pića, hemije i mnogim drugim.
Opis posla:
Podrška na terenu tokom instalacije sistema, provođenje rutinskih korektivnih popravki na licu mjesta i periodično preventivno održavanje na sistemima laboratorijske i analitičke opreme (nakon obuke i sticanja određenog stepena radnog iskustva očekuje se samostalnost u radu)
Usvajanje znanja kroz edukaciju u okviru organizacije servisa
Zaposlenje podrazumijeva rad u centrali i periodično (redovno) i po potrebi rad na terenu (korisnici u BiH)
Opšti i posebni uslovi za prijem u radni odnos:
Poželjno radno iskustvo
Poželjno poznavanje hemije i/ili hemijskih tehnologija ili srodnih nauka
Poznavanje rada na računaru ( MS Office )
Poznavanje engleskog jezika
Posjedovanje vozačke dozvole
Od vas očekujemo:
Planiran dugoročni angažman
Kreativnost u pronalaženju rješenja
Samoinicijativu
Sklonost ka timskom radu
Povjerljivost
Snalažljivost u dinamičnom poslovnom okruženju
Nudimo vam:
Rad u stabilnoj i perspektivnoj firmi
Rad u timu uz mogućnost napredovanja i stručnog usavršavanja
Kandidati koji uđu u uži izbor biće kontaktirani i pozvani na intervju.
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 08:52
Oglas ističe: 15.07.2024. u 08:52",Serviser laboratorijske / analitičke opreme
27,Trgovac - dostavljač (m/ž),"O G L A S
Za popunu radnih mjesta
Firma DOMOD d.o.o. je domaća kompanija sa dugogodišnjim iskustvom u prodaji bijele i audio-video tehnike, IT opreme, malih kućanskih aparata, alata, posuđa i ostalih kućnih aksesoara. Distributeri smo vodećih svjetskih marki: Sony, Samsung, Phillips, Panasonic, HP, Whirlpool, Gorenje, Indesit, Bosch, VOX, Tefal, Rowenta, Miele, Korkmaz i dr. u petnaest prodajnih objekta u BiH.
Zbog proširenja svojih aktivnosti raspisujemo oglas za prijem u radni odnos:
Trgovac-dostavljač
Opis poslova:
Neposredan rad sa kupcima, pružanje informacija, pomoć pri kupovini
Direktna prodaja, izdavanje računa, naplata, pakovanje
Praćenje i upoznavanje novih artikala
Održavanje reda, urednosti i higijene na radnom mjestu
Saradnja sa poslovođom i poslovodstvom u kreiranju ponude
Prevoz i istovar robe na adresi kupca
Vođenje računa o dokumentaciji uz robu
Ostali poslovi vezani za proces rada prema potrebi
Uslovi:
Min. SSS
Poznavanje rada na računaru
Posjedovanje vozačke dozvole kategorije
Radno iskustvo na istim ili sličnim poslovima
Izražena komunikativnost, timski rad, snalažljivost, odgovornost
Min. poznavanje jednog dijela asortimana kompanije (AV tehnika, IT oprema, bijela tehnika, mali kućanski aparati)
Pasivno poznavanje barem jednog stranog jezika (poželjno engleski)
Nudimo:
Rad u profesionalnom, prijatnom i dinamičnom okruženju
Stalnu obuku i usavršavanje
Mogućnost napredovanja
Lokacija: Tuzla
Ukoliko ste zainteresovani za ponuđenu radnu poziciju, svoje biografije u pismenoj formi (CV) pošaljite na putem opcije: ""Prijavite se na oglas"".
Izbor kandidata će se vršiti putem intervjua na poziv.","Mjesto rada: Tuzla
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 08:40
Oglas ističe: 15.07.2024. u 08:40",Trgovac - dostavljač
28,Fizioterapeut (m/ž),"REINKER REHA-ZENTRUM zapošljava fizioterapeute
(više izvršioca) u Njemačkoj
Sebe vidimo kao efikasnu ambulantnu medicinsku ustanovu u zdravstvenom
sektoru. Izvrsni, holistički i strukturirani tretmani liječenja su deklarirani cilj
i motiv našeg djelovanja. Radimo prema modernim i dokazanim terapijskim
konceptima i oslanjamo se na blisku integraciju pojedinačnih specijalističkih
područja.
Tražimo fizioterapeute (m/ž) za zapošljavanje u našem centru za fizikalnu terapiju na lokaciji u Borni i Kitzcheru (20 minuta južno od Leipziga), Njemačka
Početna plata iznosi 3.000 € bruto mjesečno, uz dodatak atraktivnih bonusa
Vaš zadatak je prije svega pružanje individualnih tretmana u centru fizikalne terapije, ali i kućne posjete našim pacijentima
Posao se odvija u našem interdisciplinarnom timu fizioterapeuta, ergoterapeuta, defektologa i logopeda
Pružamo usluge iz oblasti ortopedije, neurologije/gerijatrije (uglavnom kućne posjete), pedijatrije i sportske fizio-terapije
Od vas se očekuje poznavanje njemačkog jezika na nivou B2 i završeno školovanje za fizioterapeuta
Pružamo podršku kod cijelog procesa prijave i dolaska / života u Njemačkoj:
Kod svih prijava u Njemačkoj ambasadi u Sarajevu, kod procesa verifikacije diploma
U Njemačkoj kod poslova javnih administrativnih institucija (služba za strance, zavod za zdravstvo, itd.), traženje stalnog smještaja, kao i kod sastanaka sa bankama i osiguravajućim društvima
Prijave slati na E-Mail: n.bajramovic@esa-grimma.ba ili putem opcije: ""Prijavite se na oglas""
Kontakt osoba: Nejra Bajramović
Telefon: +387 63 008 445","Mjesto rada: Inostranstvo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 5
Moguć rad od kuće (remote): Ne
Oglas objavljen: 14.06.2024. u 08:23
Oglas ističe: 15.07.2024. u 23:59",Fizioterapeut
29,Konobar (m/ž),"Bosnian House je lanac restorana smještenih u centralnim dijelovima Dubai-a. Naš cilj je promoviranje bosanskohercegovačke tradicije, kulture i kuhinje širom svijeta. Smatramo da su naši zaposleni najbolji predstavnici našeg brenda, te da svojom marljivošću, odličnim timskim radom i ljubaznošću pomažu očuvanju našeg imena i kvalitete. Osvajači smo prestižnih kulinarskih nagrada u protekle tri godine, što bez naše vrijedne radne snage ne bi bilo moguće. Svi naši zaposlenici; konobari, hostese, roštiljdžije i menadžeri su Bosanci i Hercegovci, što nam pomaže u tome da svim našim gostima približimo kulturu naše zemlje. Zbog novih projekata na kojima vrijedno radimo, sada smo u potrazi za novom radnom snagom. Ukoliko se želite pridružiti našem timu i pomoći nam u ostvarenju naših ideja, a u isto vrijeme provesti neko vrijeme u sunčanom Dubai-u, prijavite se. Radujemo se novim prijavama.
  Bosnian House zapošljava na poziciji
  Konobar (m/ž)
  Lokacija rada: Dubai
  Ukoliko imate iskustva u usluživanju i prodaji, govorite tečno engleski jezik, uživate raditi u timskom radu i posjedujete odlične komunikacijske vještine, očekujemo vaše prijave.
  Garantujemo vam pokrivene troškove radne dozvole, zdravstvenog osiguranja i avio karata.
  Također nudimo besplatan smještaj (mogućnost korištenja bazena, teretane i saune), prevoz (od smještaja do radnog mjesta), dva obroka dnevno.
  Primanja se sastoje iz tri dijela: plata + bonus + bakšiš. 
  Ugovor se potpisuje dugoročno na dvije godine, što uključuje probni rad od 6 mjeseci.
  Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Inostranstvo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 13.06.2024. u 16:06
Oglas ističe: 14.07.2024. u 23:59",Konobar
30,Medicinska sestra / tehničar svih profila (m/ž),"Medicana zdravstvena grupa, jedna od vodećih i iskusnih zdravstvenih organizacija u Turskoj, nastavlja da raste sa svojim novim investicijama. Medicana traži novu ekipu za bolnicu Medicana u Sarajevu, svoju prvu inostranu investiciju. Zauzmite svoje mjesto na putu punom uspjeha u bolnici Medicana Sarajevo, koja otvara svoja vrata u glavnom gradu Bosne i
Hercegovine. 
MEDICINSKA SESTRA/TEHNIČAR SVIH PROFILA (M/Ž)
Potrebne kvalifikacije i vještine:
Validna licenca za samostalni rad
Minimalno 3 godine radnog iskustva (hirurgija, operaciona sala, sterilizacija, onkologija, hematologija, urologija, gastroenterohepatologija, intenzivna njega, ginekologija i akušerstvo, endoskopski kabineti)
CV poslati isključivo u Word ili PDF formatu putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 50
Moguć rad od kuće (remote): Ne
Oglas objavljen: 13.06.2024. u 15:33
Oglas ističe: 14.07.2024. u 23:59",Medicinska sestra / tehničar svih profila
31,Kuhar / pomoćni kuhar (m/ž),"Garden City Hotel Konjic se nalazi nedaleko od centra grada Konjica I predstavlja najveći kongresno rekreacioni centar na ovom području. Smješten na 40 000 m2  raspolaže bogatom ponudom koja ispunjava sve poslovne I rekreacione zahtjeve gostiju. Modernizacijom opreme I stalnom edukacijom uposlenika težimo zajedničkom uspjehu na obostrano zadovoljstvo kako gostiju tako I naših uposlenika.
Zapošljavamo na poziciji
Kuhar / pomoćni kuhar (m/ž) - 2 izvršioca
Nudimo:
Pružamo mogućnost dodatne obuke
  Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".
Za dodatne informacije pozovite na broj telefona 387 61 318 108.","Mjesto rada: Konjic
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 2
Moguć rad od kuće (remote): Ne
Oglas objavljen: 13.06.2024. u 14:44
Oglas ističe: 14.07.2024. u 14:44",Kuhar / pomoćni kuhar
32,HR Manager (m/f),"inMotion team is hiring an HR Manager!
Established in 2017. inMotion company currently employs over 300 people and it's continuously expanding. Our core business is transport coordination on the US market. We are looking for an HR Manager to oversee all aspects of human resources practices and
processes.
To us, an HR Manager is the go-to person for all employee-related issues. This means that your HR Manager duties will involve managing activities such as job design, recruitment, employee relations, performance management, training & development and talent management.
The job of HR Manager is important to business success. People are our most important asset and you’ll be the one to ensure we have a happy and productive workplace where everyone works to realize our established mission and objectives. Promoting corporate values and shaping a positive culture is a vital aspect of a complete HR Manager job description and
specification.
Responsibilities:
Develop and implement HR strategies and initiatives aligned with the overall business strategy
Bridge management and employee relations by addressing demands, grievances or other issues
Manage the recruitment and selection process
Support current and future business needs through the development, engagement, motivation and preservation of human capital
Develop and monitor overall HR strategies, systems, tactics and procedures across the organization
Nurture a positive working environment
Oversee and manage a performance appraisal system that drives high performance
Maintain pay plan and benefits program
Assess training needs to apply and monitor training programs
Report to management and provide decision support through HR metrics
Ensure legal compliance throughout human resource management
Requirements and skills:
People oriented and results driven
Demonstrable experience with Human Resources metrics
Knowledge of HR systems and databases
Ability to architect strategy along with leadership skills
Excellent active listening, negotiation and presentation skills
Competence to build and effectively manage interpersonal relationships at all levels of the company
In-depth knowledge of labor law and HR best practices
Place of work: Sarajevo (on site)
Working hours: 14:00 - 23:00 (Monday- Friday)
If you think that you're a good fit for this position don't hesitate to send us your CV via ""Prijavite se na oglas"" option.","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 13.06.2024. u 13:58
Oglas ističe: 14.07.2024. u 23:59",HR Manager (m/f)
33,Radnik u kuhinji (ž),"Potrebna radnica u kuhinji na poslovima hladne pripreme i pripremi tijesta.
Nudimo:
Radno vrijeme 8 sati dnevno, sedmično jedan dan slobodan,rad u smjenama
Odlični radni uslovi
Stabilna firma sa tradicijom duzom od 20 godina
Radno iskustvo u ugostiteljstvu pozeljno
Timski rad
Sve info na br tel 061 700 954, a prijaviti se možete i putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 13.06.2024. u 13:37
Oglas ističe: 14.07.2024. u 23:59",Radnik u kuhinji (ž)
34,Pomoćni kuhar (m/ž),"Restoran Bell na lokaciji Grbavička sedam širi svoj tim i zapošljava na poziciji:
Pomoćni kuhar (m/ž)
Vaše prijave možete poslati putem opcije: ""Prijavite se na oglas"".","Mjesto rada: Sarajevo
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 13.06.2024. u 13:34
Oglas ističe: 14.07.2024. u 23:59",Pomoćni kuhar
35,Brand Manager (m/ž),"Duga-tehna d.o.o. je vodeći domaći proizvođač i izvoznik boja, lakova i fasadnih žbuka, te distributer više poznatih brandova. Ako ste Vi proaktivna i dinamična osoba i želite postati dio tima naše kompanije, koja posluje u skladu s europskim standardima, koristeći najsuvremenije industrijske tehnologije, sa zadovoljstvom Vas pozivamo da se prijavite na oglas za radno mjesto:
BRAND MANAGER (m/ž)
Vaše odgovornosti:
Kreiranje i razvoj godišnjih i mjesečnih planova prodaje branda
Analiza rezultata prodaje i identifikacija prostora za poboljšanje
Razvoj i unapređenje odnosa sa kupcima
Pozicioniranje proizvoda i lansiranje novih proizvoda na tržište
Razvijanje cjenovnih politika i distributivnih strategija
Istraživanje trendova tržišta za brand i prilagođavanje strategije
Efikasno surađivanje sa timom prodaje
Sudjelovanje u osmišljavanju i implementaciji marketinških aktivnosti, te kontinuiran rad na izgradnji svijesti o brandu
Vaše kvalifikacije i vještine:
Obavezno iskustvo na istim ili sličnim pozicijama
Znanje engleskog jezika
Odlične komunikacijske, prodajne i pregovaračke vještine
Želja za napredovanjem i usavršavanjem
Nudimo:
Dugoročni angažman u uspješnoj i renomiranoj kompaniji
Rad u dinamičnom i proaktivnom okruženju
Mogućnost daljeg usavršavanja i napredovanja
  Lokacija: Čitluk

Ukoliko smatrate da ispunjavate navedene zahtjeve i želite svoju karijeru nastaviti u dinamičnom okruženju sa mogućnošću napredovanja, molimo Vas da pošaljete Vaš životopis putem opcije: ""Prijavite se na oglas"" ili kontaktom na adresu posao@dugatehna.ba najkasnije do 30.06.2024.
Prijave će biti razmotrene u potpunoj diskreciji.","Mjesto rada: Čitluk
Zaposlenje: Puno radno vrijeme
Broj izvršilaca: 1
Moguć rad od kuće (remote): Ne
Oglas objavljen: 13.06.2024. u 13:23
Oglas ističe: 30.06.2024. u 13:23",Brand Manager
